,Unnamed: 0,Unnamed: 0.1,City,Lat,Temp,Humidity,Cloudiness,Wind Speed,Max Temp
167,167,167,port elizabeth,39.31,76.87,94.0,20,4.52,73.99
168,168,168,kattivakkam,13.22,86.61,37.0,40,12.75,100.4
169,169,169,biarritz,43.48,65.97,93.0,90,3.36,70.0
170,170,170,khetia,21.67,78.7,70.0,99,18.3,86.16
171,171,171,nanortalik,60.14,36.22,83.0,0,5.93,38.46
172,172,172,geraldton,49.72,77.0,72.0,40,4.7,62.6
173,173,173,komsomolskiy,67.55,67.18,36.0,0,16.53,78.96
174,174,174,samarai,-10.62,73.3,82.0,93,7.16,75.18
175,175,175,maloy,1.0,75.28,96.0,100,1.77,76.62
176,176,176,hithadhoo,-0.6,83.74,78.0,35,13.94,83.82
